original_object	original_description	sonnet_simplification
lattiera	Lattiera con corpo globulare; piede circolare; manico a "C" schiacciato; ; beccuccio sporgente; fondo bianco decorato con grappolo d'uva; bordo rifinito in verde.	Questa è una lattiera, un contenitore per il latte. Ha una forma rotonda con un manico a C e un beccuccio per versare. È decorata con un disegno di uva su sfondo bianco e ha il bordo verde.
Kappa su granchio, CREATURA FANTASTICA e ANIMALE (scultura)	Questo netsuke raffigura un granchio (kani) sul quale sta posato un kappa, la cui zampa anteriore sinistra è trattenuta dalla chela destra del mollusco. I due fori dell'himotoshi sono ubicati sul lato inferiore della composizione.	Questo è un piccolo oggetto decorativo giapponese chiamato netsuke. Mostra un granchio e una creatura mitologica chiamata kappa. Il granchio tiene il kappa con la sua chela.
statua (elemento d'insieme)	L'apostolo è rappresentato con una tunica legata a vita ed un mantello chiuso con una fibia sulla spalla destra; il volto è incorniciato da una folta barba a torciglioni e lunghi capelli; in mano tiene un libro	Questa statua rappresenta un apostolo di Gesù. Indossa una tunica e un mantello. Ha barba e capelli lunghi. Tiene in mano un libro.
statua (elemento d'insieme)	Il profeta è rappresentato con ampia tunica, capelli lunghi e copricapo; con la mano destra poggiata sul petto tiene un cartiglio, mentre con la sinistra regge un lembo della tunica	Questa statua mostra un profeta. Indossa una tunica larga e ha capelli lunghi. Tiene un rotolo di pergamena e un pezzo della sua tunica.
dipinto (elemento d'insieme)	L'arcangelo è raffigurato con i gigli nella destra, la sinistra levata e l'abito ancora gonfiato dal vento	Questa statua raffigura un arcangelo. Ha dei gigli in una mano e l'altra mano alzata. Il suo vestito sembra mosso dal vento.
statua (elemento d'insieme)	David è raffigurato seduto sul frontone con l'arpa in mano e la corona sul capo	Questa è una statua di Re Davide. È seduto e tiene un'arpa. Indossa una corona.
scomparto di polittico (elemento d'insieme)	San Giorgio, riccamente abbigliato, trafigge il drago con la lancia	Questa statua mostra San Giorgio che uccide un drago con la sua lancia. Indossa abiti eleganti.
statua (elemento d'insieme)	San Francesco d'Assisi è raffigurato con la destra al petto e lo sguardo volto verso l'alto	Questa è una statua di San Francesco d'Assisi. Ha una mano sul petto e guarda verso l'alto.
dipinto (elemento d'insieme)	Il santo è caratterizzato da un libro aperto	Questa statua rappresenta un santo che tiene un libro aperto.
dipinto (elemento d'insieme)	Il santo è dipinto mente scrive, con l'abito vescovile. La schedatrice identifica il santo con Sant'Agostino, ma sembra più probabile che sia San Giacomo apostolo, visto il tema della serie	Questo dipinto mostra un santo che sta scrivendo. Indossa abiti da vescovo.
dipinto (elemento d'insieme)	Il santo regge il libro nella sinistra e l'alabarda nella destra	Questa statua rappresenta un santo che tiene un libro e un'alabarda, un tipo di arma.
dipinto (elemento d'insieme)	Il santo è raffigurato mentre scrive e ha lo sguardo volto verso l'alto	Questo dipinto mostra un santo che sta scrivendo e guarda verso l'alto.
dipinto (elemento d'insieme)	Il dipinto non è del tutto leggibile, non è chiaro cosa regga in mano il santo	Questo dipinto mostra un santo, ma non si vede chiaramente cosa tiene in mano.
statua (elemento d'insieme)	La statua mostra un linguaggio scenografico seppure contenuto in uno schema classico	Questa statua ha un aspetto teatrale ma mantiene una forma classica.
scomparto di polittico (elemento d'insieme)	Nello scomparto sono raffigurati un santo vescovo, con pianeta, mitra e pastorale, e San Pietro, con il libro e la chiave; il soffitto cassettonato, sorretto da una colonna, è coerente, dal punto di vista della prospettiva, con il pannello centrale. Sullo sfondo è un paesaggio	Questo dipinto mostra due santi: un vescovo con bastone e mitra, e San Pietro con un libro e una chiave. Sullo sfondo c'è un paesaggio.
scomparto di polittico (elemento d'insieme)	San Paolo, con la spada, e San Giovanni Battista con la croce di canne, sono in uno spazio architettonico simmetrico rispetto al pannello precedente, e coerente prospetticamente con lo scomparto centrale	Questo dipinto mostra San Paolo con una spada e San Giovanni Battista con una croce fatta di canne.
scomparto di polittico (elemento d'insieme)	Il Cristo è raffigurato a mezza figura, con le mani sul petto	Questo dipinto mostra Gesù dalla vita in su, con le mani sul petto.
dipinto	Il dipinto raffigura un santo apostolo, a mezzo busto, con un libro in mano e tenente sotto il braccio una croce astile. La figura è barbuta e torce il collo, voltandosi all'indietro e rivolgendo lo sguardo verso l'alto. I colori sono mantenuti in tonalità piuttosto basse e soffocati dallo sporco	Questo dipinto mostra un apostolo con un libro e una croce. Ha la barba e guarda verso l'alto.
dipinto	Il dipinto raffigura San Simone Apostolo, a mezzo busto, di tre quarti, reggente con la mano destra la sega, attributo che lo identifica	Questo dipinto mostra San Simone Apostolo che tiene una sega, il suo simbolo.
dipinto	Il dipinto raffigura San Bartolomeo, a mezzo busto, il quale con la mano sinistra mostra la pelle scorticata	Questo dipinto mostra San Bartolomeo che tiene la sua pelle, perché secondo la tradizione fu scorticato.
dipinto	Al centro della scena è raffigurato Gesù Bambino sdraiato nella magiatoia, con ai lati S. Giuseppe e la Madonna in adorazione. Sulla destra vi sono il bue, l'asino e la figura del pastore. In alto c'è un angioletto che innalza un cartiglio	Questo dipinto mostra la nascita di Gesù. C'è Gesù Bambino nella mangiatoia, Maria e Giuseppe, un bue, un asino, un pastore e un angelo.
dipinto	Al centro della scena è raffigurato Simeone col Bambino in braccio, davanti al quale in primo piano è raffigurato un cesto di colombi. Sulla sinistra ci sono la Madonna, inginocchiata, e S. Giuseppe in piedi. Sullo stesso lato in secondo piano si affaccia S. Anna ed una figura maschile	Questo dipinto mostra Gesù Bambino presentato al tempio. C'è Simeone che tiene Gesù, Maria, Giuseppe, Sant'Anna e delle colombe.
dipinto	La scena raffigura Cristo seduto, coperto da un mantello, con le mani legate, mentre gli stanno al fianco due carnefi, di cui uno gli conficca la corona di spine in capo tramite un bastone	Questo dipinto mostra Gesù con la corona di spine. Due uomini gli stanno mettendo la corona sulla testa.
dipinto	La scena raffigura Cristo crocifisso con con Maria e S. Giovanni da un lato e la Maddalena inginocchiata che abbraccia la croce	Questo dipinto mostra Gesù sulla croce con Maria, San Giovanni e Maria Maddalena.
scultura (elemento d'insieme)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con l'angelo	Questa è una statua di un evangelista (chi ha scritto il Vangelo) con un angelo.
scultura (elemento d'insieme)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con il leone ai suoi piedi	Questa è una statua di un evangelista con un leone ai suoi piedi.
dipinto	Nella parte inferiore del dipinto, diagonalmente, è dipinta la croce, a terra, con Cristo giacente su di essa, vestito del solo perizoma, con il capo cinto dalla corona di spine. Due sgherri, stanno piantando i chiodi nei palmi delle sue mani. Un soldato, con elmo, lorica e lancia in mano, osserva la scena	Questo dipinto mostra Gesù disteso sulla croce. Due uomini gli stanno inchiodando le mani e un soldato guarda.
dipinto	Al centro della scena è raffigurato Cristo crocifisso vestito del solo perizoma e già morto. Ai lati in secondo piano i due ladroni crocifissi; mentre in primo piano ai lati della croce, ci sono: a sinistra la Madonna, a destra la Maddalena inginocchiata a baciare i piedi del Cristo e San Giovanni Evangelista in piedi	Questo dipinto mostra Gesù crocifisso con Maria, Maria Maddalena e San Giovanni.
dipinto	La scena raffigura il corpo esanime di Cristo, giacente sul sepolcro, avvolto dal sudario e pianto dalla Madonna e San Giovanni Evangelista	Questo dipinto mostra Gesù morto, avvolto in un lenzuolo. Maria e San Giovanni piangono accanto a lui. Il corpo di Gesù è disteso su una pietra che rappresenta il sepolcro.
dipinto	Al centro della scena è rappresentato il Cristo, in piedi, con la tunica chiara, che rivece la croce, con due sgherri che lo aiutano ad issarla sulla spalla sinistra ed un'altra figura maschile di lato	Questo dipinto mostra Gesù che riceve la croce. Due uomini lo aiutano a metterla sulla spalla.
dipinto	Al centro della scena è rappresentato Cristo con la croce sulle spalle, che lungo la salita al Calvario, si ferma di fronte a Maria Vergine piangente	Questo dipinto mostra Gesù che porta la croce e si ferma davanti a Maria che piange.
dipinto	Al centro della scena è rappresentato Cristo con la croce sulla spalla. Sulla destra gli si avvicina la Veronica che tiene in mano il panno nel quale Cristo si è asciugato il volto e sul quale è rimasta la sua impronta. La donna è dipinta di profilo, indossa una veste chiara e il velo sul capo. Sulla sinistra ci sono due soldati che incitano Cristo a camminare	Questo dipinto mostra Gesù con la croce sulla spalla. La Veronica gli asciuga il viso con un panno. Ci sono anche dei soldati.
dipinto	Al centro della scena è raffigurato Cristo, con dietro gli sgherri, che sorregge la croce e si rivolge verso sinistra dove sono raffigurate alcune donne	Questo dipinto mostra Gesù che porta la croce e parla con alcune donne.
dipinto	Nella parte inferiore del dipinto, a destra, è rappresentato il Cristo col capo cinto dalla corona di spine, che cade a terra, sotto il peso della croce. I carnefici incitano il Cristo a sollevarsi; uno di questi, di spalle, tirandolo per la corda che gli cinge la vita	Questo dipinto mostra Gesù che cade sotto il peso della croce. Alcuni uomini cercano di farlo alzare.
dipinto (elemento d'insieme)	L'affresco raffigura al centro della scena, incorniciata da un'arcata a tutto sesto, Maria con in braccio il Bambino mentre lo avvicina al sacerdote che gli opera la circoncisione. Ai lati, ci sono due figure maschili, di cui una sulla destra con un libro in mano ed una sulla sinistra, accompagnata da una figura femminile (S. Giuseppe e S. Anna) con due colombi in mano. Sullo sfondo la facciata del tempio	Questo affresco mostra Maria che tiene Gesù Bambino mentre un sacerdote fa la circoncisione. Ci sono anche altre persone, tra cui Giuseppe e Sant'Anna.
dipinto (elemento d'insieme)	L'affresco raffigura la Madonna seduta su di un semplice trono lineare, con Gesù Bambino seduto sulle sue ginocchia. Gesù ha al collo una croce ed è in atto benedicente. La Madonna regge nella mano sinistra un libro	Questo affresco mostra Maria seduta su un trono con Gesù Bambino sulle ginocchia. Gesù benedice e ha una croce al collo. Maria tiene un libro.
dipinto (elemento d'insieme)	L'affresco rappresenta due riquadri inquadranti due busti di profeti biblici, che tengono in mano un cartiglio	Questo affresco mostra due profeti della Bibbia. Ognuno tiene un rotolo di pergamena.
dipinto (elemento d'insieme)	L'affresco rappresenta la resurrezione di Cristo, il quale si erge sul sepolcro, in atto benedicente e col vessillo in mano. Ai lati del sepolcro ci sono i soldati, alcuni dei quali ancora addormentati, mentre di fronte un angelo è seduto sul coperchio del sarcofago poggiato, A destra si affacciano le due Marie con l'ampolla d'olio in mano	Questo affresco mostra Gesù che risorge. Si alza dalla tomba con una bandiera in mano. Ci sono soldati e un angelo. Le donne arrivano con l'olio.
dipinto (elemento d'insieme)	L'affresco rappresenta Maria Maddalena, raffigurata sulla destra, che s'inginocchia davanti Cristo con la vanga in mano. Sull'estrema destra, dietro la figura della Maddalena, si affacciano alcuni apostoli	Questo affresco mostra Maria Maddalena che si inginocchia davanti a Gesù. Gesù ha una vanga in mano. Ci sono anche alcuni apostoli.
dipinto (elemento d'insieme)	L'affresco rappresenta al centro della scena Cristo con le mani giunte avvolto da una nube e sospeso da terra. Al lato sinistro ci sono tre angeli adulti a figura intera, di cui uno tiene in mano un cartiglio. Sulla sinistra c'è un gruppo di figure maschili inginocchiate	Questo affresco mostra Gesù che sale al cielo. È circondato da una nuvola. Ci sono angeli e persone inginocchiate che guardano.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di profilo, imberbe, e reggente un cartiglio. Il profeta è identificato dalla scritta soprastante il riquadro, che riporta il nome di Daniele	Questo affresco mostra il viso di un uomo di profilo. Non ha la barba e tiene un rotolo di carta. Sopra c'è scritto il nome Daniele.
dipinto (elemento d'insieme)	L'affresco raffigura Gioacchino di fronte al sacerdote che gli fa cenno di uscire dal tempio. A sinistra di Gioacchino, vi è un pastore con l'agnello in braccio ed altre figure si stagliano sullo sfondo	Questo affresco mostra Gioacchino che viene mandato via dal tempio. C'è anche un pastore con un agnello in braccio.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di profilo, con lunga barba e reggente un cartiglio. Il profeta è non è identificabile dalla scritta soprastante il riquadro, in quanto consunta	Questo affresco mostra il viso di un uomo di profilo. Ha una lunga barba e tiene un rotolo di carta. Non si può leggere il suo nome.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di tre quarti, barbuto e reggente un cartiglio. Il profeta è identificabile dalla scritta soprastante il riquadro, che riporta il nome di Mosé	Questo affresco mostra il viso di un uomo con la barba. Tiene un rotolo di carta. Sopra c'è scritto il nome Mosè.
dipinto (elemento d'insieme)	L'affresco raffigura San Gioacchino e Sant'Anna che s'incontrano e si abbracciano. A destra di Sant'Anna di proporzioni minori, un'altra figura femminile	Questo affresco mostra Gioacchino e Anna che si abbracciano. C'è anche un'altra donna più piccola.
dipinto (elemento d'insieme)	L'affresco raffigura la nascita di Maria, con S. Anna seduta sul letto con le mani giunte, attorniata da figure femminili, di cui tre intente a preparare il bagno per la piccola Maria ed una quarta che porta del cibo alla partoriente	Questo affresco mostra la nascita di Maria. Anna è seduta sul letto. Ci sono donne che preparano il bagno per Maria e una che porta del cibo.
dipinto (elemento d'insieme)	L'affresco raffigura l'Annunciazione. L'arcangelo Gabriele è raffigurato sulla sinistra inginocchiato, in atto benedicente e tiene in mano un cartiglio, in secondo piano un vaso di gigli fioriti; in alto, in un clipeo con cornice bombata, appare la figura di Dio Padre barbuto. La Vergine è invece raffigurata sulla destra inginocchiata davati al leggio con il libro aperto davanti e le mani giunte, mentre sta per essere raggiunta dalla colomba dello spirito santo. La scena è divisa da una colonna con capitello a foglie d'acanto che regge un soffitto a volte	Questo affresco mostra l'angelo Gabriele che parla a Maria. C'è un vaso di fiori e Dio in alto. Maria è inginocchiata davanti a un libro.
dipinto (elemento d'insieme)	L'affresco raffigura al centro della scena il sommo sacerdote, abbigliato da una ricca veste broccata e col turbante in testa, che unisce le mani di San Giuseppe raffigurato sulla sinistra e di Maria Vergine, sulla destra. In secondo piano ci sono altre figure, che assistono alla scena. All'estrema destra si affaccia S. Anna	Questo affresco mostra un sacerdote che unisce le mani di Giuseppe e Maria. Ci sono altre persone che guardano, inclusa Anna.
dipinto (elemento d'insieme)	Verso l'altare è raffigurata la Madonna in gloria tra gli Apostoli; sotto di loro vi sono angeli musicanti	Questo affresco mostra Maria in cielo con gli Apostoli. Sotto ci sono angeli che suonano.
decorazione pittorica (elemento d'insieme)	Entro un ovale, due angeli inginocchiati sorreggono un ostensorio	Questa immagine mostra due angeli inginocchiati che tengono un contenitore speciale per l'ostia.
statua (elemento d'insieme)	San Giovanni, rappresentato con il libro, è riconoscibile per la giovane età	Questo dipinto mostra San Giovanni, che è giovane e tiene un libro.
statua (elemento d'insieme)	San Matteo, rappresentato con i libro, non presenta altra caratterizzazione iconografica, si distingue da San Giovanni per la differenza di età	Questo dipinto mostra San Matteo, che è più vecchio di San Giovanni e tiene un libro.
dipinto (elemento d'insieme)	In una folla di personaggi, Cristo cade sotto il peso della croce; a sinistra sono raffigurate le mura di Gerusalemme	Questo dipinto mostra Gesù che cade mentre porta la croce. Ci sono molte persone intorno e si vedono le mura di Gerusalemme.
dipinto (elemento d'insieme)	Gli apostoli sono raffigurati in cerchio, mentre assistono all'ascensione di Cristo, di cui si vedono solo i piedi	Questo dipinto mostra gli apostoli che guardano in alto. Si vedono solo i piedi di Gesù che sale al cielo.
dipinto (elemento d'insieme)	Maria è incoronata da Cristo e Dio Padre	Questo dipinto mostra Maria che viene incoronata da Gesù e Dio Padre.
dipinto (elemento d'insieme)	Maria ed Elisabetta si abbracciano alla presenza di Zaccaria e Giuseppe, in un'ambientazione cittadina	Questo dipinto mostra Maria ed Elisabetta che si abbracciano. Ci sono anche Zaccaria e Giuseppe, e si vede una città.
dipinto (elemento d'insieme)	Gesù, Maria e Giuseppe sono raffigurati nella capanna, in alto appare un angelo; alla scena è presente un'altra figura, forse un angelo	Questo dipinto mostra Gesù, Maria e Giuseppe in una capanna. C'è un angelo in alto e forse un altro angelo vicino.
dipinto (elemento d'insieme)	Nello stesso ambiente della scena precedente, Cristo è incoronato di spine da due soldati	Questo dipinto mostra Gesù a cui vengono messe delle spine sulla testa da due soldati.
dipinto (elemento d'insieme)	Il Battista è incatenato in carcere, vigilato da tre armigeri. A sinistra, sullo sfondo, un ampio paesaggio, chiaramente ispirato a quello locale, Cristo appare a due discepoli. In primo piano è un grosso cane	Questo dipinto mostra Giovanni Battista in prigione con delle catene. Ci sono tre guardie, un grande cane, e si vede Gesù che parla con due persone in lontananza.
dipinto (elemento d'insieme)	Il Battista, con l'agnello ai piedi, è inginocchiato in preghiera in un paesaggio boschereccio e montagnoso. In alto a sinistra si scorgono due teste d'angioletto	Questo dipinto mostra Giovanni Battista che prega in un bosco con montagne. C'è un agnello ai suoi piedi e due piccoli angeli in alto.
sportello di tabernacolo (opera isolata)	sportello di tabernacolo centinato con raffigurazione dell'ostensorio raggiato con monogramma cristologico, sorretto da nuvole	Questa è una porta di tabernacolo con un disegno di un contenitore speciale per l'ostia circondato da raggi e nuvole.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'Annuciazione. L'arcangelo Gabriele, in piedi, avanza da sinistra portando un ramo di gigli alla Vergine inginocchiata che si volge di scatto, mentre era intenta a leggere. In alto, al centro, appare la colomba dello spirito santo immersa in una raggiera. La scena si svolge in un sobrio interno arredato solamente con il leggio e il baldacchino del letto riccamente tendato	Questa è una tavoletta di legno che mostra l'angelo Gabriele che parla a Maria. Maria è inginocchiata e c'è una colomba in alto.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la crocifissione. Al centro della scena è raffigurato Cristo crocifisso con ai lati le figure stanti della Madonna, sulla sinistra con le mani giunte, e di San Giovanni Evangelista con le braccia aperte. Entrambi rivolgono il volto verso l'alto. In cielo si avvicinano le nubi minacciose e sullo sfondo si vede Gerusalemme	Questa tavoletta di legno mostra Gesù sulla croce con Maria e Giovanni ai lati. Si vede Gerusalemme in lontananza e nuvole scure in cielo.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la resurrezione di Cristo. La scena pone al centro la figura di Cristo appena risorto dal sepolcro si eleva verso il cielo ricoperto di nubi. Attorno al sarcofago marmoreo stanno i soldati romani, alcuni ancora addormentati, altri che indietreggiano spaventati dell'accaduto	Questa tavoletta di legno mostra Gesù che risorge dalla tomba. Ci sono soldati intorno, alcuni dormono e altri sono spaventati.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la Pentecoste. Al centro della scena è raffigurata la Madonna seduta con un libro aperto in mano attorniata dagli apostoli che con le mani giunte rivolgono lo sguardo verso l'alto, ove appare in una nube la colomba dello spirito santo	Questa tavoletta di legno mostra Maria seduta con un libro, circondata dagli apostoli. Tutti guardano in alto verso una colomba.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di Maria Vergine. In una composizione in cui dominano le fitte nubi che ricoprono tutto lo sfondo, al centro è raffigurata la Vergine con Cristo sulla sinistra e Dio Padre sulla destra che si accingono ad incoronarla. In alto la colomba dello spirito santo	Questa tavoletta di legno mostra Maria che viene incoronata da Gesù e Dio Padre. C'è una colomba in alto e molte nuvole intorno.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'adorazione dei pastori. Entro una mangiatoia posta sotto una costruzione in mattoni con un'incongruente ingresso ad arcata su colonne doriche, è raffigurata la Madonna sulla sinistra, il Bambino nella culla al centro con alle spalle il bue e l'asino, e i tre pastori sulla destra, con morbide vesti corte e calzari	Questa tavoletta di legno mostra Maria, Gesù Bambino in una culla, e tre pastori. Si vedono anche un bue e un asino.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la presentazione di Gesù al tempio. All'interno di una chiesa dalle alte vetrate centinate, sull'altare la Madonna porge il bambino al sacerdote accompagnato da altri due funzionari religiosi. Alla destra della Madonna c'è Sant'Anna	Questa tavoletta di legno mostra Maria che porta Gesù Bambino a un sacerdote in una chiesa. C'è anche Sant'Anna.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la flagellazione di Cristo. Al centro della scena è raffigurato Cristo legato ad una colonna, rivestito del solo perizoma annodato. Di fianco vi sono i due soldati romani che lo colpiscono con flagelli. Sulla destra si affacciano ad assistere alla scena due sacerdoti	Questa tavoletta di legno mostra Gesù legato a una colonna mentre due soldati lo colpiscono. Due sacerdoti guardano.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'orazione di Cristo nell'orto di Getsemani. Sulla destra in alto è raffigurato Cristo inginocchiato in preghiera con il volto rivolto verso l'alto ove c'è una nube purtroppo abrasa. In primo piano, riversi sul prato, dormono gli apostoli	Questa tavoletta di legno mostra Gesù che prega in un giardino. Gli apostoli dormono vicino a lui.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di spine. Al centro della sena è raffigurato Cristo seduto con le braccia legate, ricoperto da un mantello, mentre tre soldati in piedi dietro di lui sono intenti a porgergli sulla testa la corona di spine. A destra due sacerdoti assistono alla scena	Questa tavoletta di legno mostra Gesù seduto mentre tre soldati gli mettono una corona di spine. Due sacerdoti guardano.
pianeta (elemento d'insieme)	Pianeta di velluto rosso con ricami policromi. Sulla parte posteriore il fregio verticale contiene le immagini dei Santi Dalmazzo, Primo e Feliciano; sulla parte anteriore i Santi Rocco e Sebastiano	Questo è un vestito speciale per i sacerdoti. Ha immagini di santi ricamate sopra.
dipinto	La scena rappresenta Gesù seduto su di un alto trono all'interno di un tempio attorniato dai Dottori	Questo dipinto mostra Gesù seduto su un trono in un tempio, circondato da persone sagge.
dipinto	La scena rappresenta Cristo legato alla colonna che subisce la flagellazione da parte di tre soldati	Questo dipinto mostra Gesù legato a una colonna mentre tre soldati lo colpiscono.
tabernacolo (elemento d'insieme)	Il tabernacolo, ornato da sei colonnine tortili, ha uno sportello con due csene intagliate: quella inferiore raffigura l'Annunciazione, quella superiore non è leggibile dalla fotografia	Questo è un tabernacolo con piccole colonne. La porta mostra l'angelo che parla a Maria.
tronetto per esposizione eucaristica (elemento d'insieme)	Al di sopra del tabernacolo è posto il tronetto per l'esposizione eucaristica, il cui dossale, delimitato da volute e teste cherubiche, ha un intaglio raffigurante il Crocifisso. L'oggetto è fiancheggiato da due statue di angeli e sormontato da una corona	Sopra il tabernacolo c'è un posto speciale per mostrare l'ostia. Ha un'immagine di Gesù sulla croce e due statue di angeli. In cima c'è una corona.
